model,coverage@10,coverage@20,diversity@10,diversity@20,map@10,map@20,mrr@10,mrr@20,ndcg@10,ndcg@20,novelty@10,novelty@20,recall@10,recall@20
als,1.0,1.0,0.8978003310637809,0.90401982048413,0.030952380952380953,0.06095238095238096,0.030952380952380953,0.06095238095238096,0.06895405204413554,0.1727925232420268,4.815727451748106,4.819078726898296,0.2,0.6
bpr,1.0,1.0,0.9002267393443255,0.9037078329051783,0.10611111111111111,0.11880341880341883,0.10611111111111111,0.11880341880341883,0.23714425180180002,0.28617623017521465,4.779728631621709,4.809486832664456,0.7,0.9
tfidf,1.0,1.0,0.9034378685825032,0.9034822348691092,0.02777777777777778,0.06312875420073563,0.02777777777777778,0.06312875420073563,0.06572371827720033,0.20947764015120257,4.6805769214695765,4.781416530736725,0.2,0.8
hash,1.0,1.0,0.9010230725126213,0.9033579176794445,0.061111111111111116,0.10616452991452992,0.061111111111111116,0.10616452991452992,0.09319597492354388,0.2657986056248408,4.703763913979361,4.781823657092288,0.2,0.9
blend_wcf0.3_wcb0.7_wpop0.1,0.88,1.0,0.8884530199857201,0.9016423186226717,0.23928571428571427,0.2777258852258852,0.23928571428571427,0.2777258852258852,0.2764009891406726,0.4241689207781157,4.397557075519278,4.738855261777755,0.4,1.0
blend_wcf0.5_wcb0.5_wpop0.1,0.88,1.0,0.8884530199857201,0.9016423186226717,0.23928571428571427,0.2777258852258852,0.23928571428571427,0.2777258852258852,0.2764009891406726,0.4241689207781157,4.397557075519278,4.738855261777755,0.4,1.0
blend_wcf0.7_wcb0.3_wpop0.1,0.88,1.0,0.8884530199857201,0.9016423186226717,0.23928571428571427,0.2777258852258852,0.23928571428571427,0.2777258852258852,0.2764009891406726,0.4241689207781157,4.397557075519278,4.738855261777755,0.4,1.0
